Gender,Cancer,Stage,Age group,No
Female,Ovary,Stage II,40-49 years,19.996035648432695
Female,Ovary,Stage II,50-59 years,33.17126613398894
Female,Ovary,Stage II,60-69 years,24.543239090350337
Female,Ovary,Stage III,0-29 years,51.24931468961279
Female,Ovary,Stage III,30-39 years,49.87349416103258
Female,Ovary,Stage III,40-49 years,117.97661032575292
Female,Ovary,Stage III,50-59 years,195.71047019053472
Female,Ovary,Stage III,60-69 years,144.805110633067
Female,Ovary,Stage IV,0-29 years,36.30883650891211
Female,Ovary,Stage IV,30-39 years,35.33410264290105
Female,Ovary,Stage IV,40-49 years,83.58342901044868
Female,Ovary,Stage IV,50-59 years,138.65589244007376
Female,Ovary,Stage IV,60-69 years,102.59073939766442
Female,Stomach,Stage I,50-59 years,43.17981412639406
Female,Stomach,Stage I,60-69 years,67.19698884758365
Female,Stomach,Stage I,70-79 years,80.48308550185875
Female,Stomach,Stage I,80+ years,84.06011152416357
Female,Stomach,Stage II,50-59 years,18.401524163568773
Female,Stomach,Stage II,60-69 years,28.636691449814126
Female,Stomach,Stage II,70-79 years,34.298698884758366
Female,Stomach,Stage II,80+ years,35.823085501858735
Female,Stomach,Stage III,50-59 years,26.96460966542751
Female,Stomach,Stage III,60-69 years,41.962676579925656
Female,Stomach,Stage III,70-79 years,50.259479553903354
Female,Stomach,Stage III,80+ years,52.4932342007435
Female,Stomach,Stage IV,50-59 years,93.82955390334573
Female,Stomach,Stage IV,60-69 years,146.01877323420075
Female,Stomach,Stage IV,70-79 years,174.88940520446099
Female,Stomach,Stage IV,80+ years,182.66226765799257
Female,Thyroid,Stage I,0-29 years,104.25558551617874
Female,Thyroid,Stage I,30-39 years,196.83454545454543
Female,Thyroid,Stage I,40-49 years,290.2475500770416
Female,Thyroid,Stage I,50-59 years,282.7411479198767
Female,Thyroid,Stage I,60-69 years,208.51117103235748
Female,Thyroid,Stage II,0-29 years,25.27840909090909
Female,Thyroid,Stage II,30-39 years,47.72563636363636
Female,Thyroid,Stage II,40-49 years,70.3750909090909
Female,Thyroid,Stage II,50-59 years,68.55504545454545
Female,Thyroid,Stage II,60-69 years,50.55681818181818
Female,Thyroid,Stage III,0-29 years,3.9988443759630203
Female,Thyroid,Stage III,30-39 years,7.549818181818182
Female,Thyroid,Stage III,40-49 years,11.132782742681048
Female,Thyroid,Stage III,50-59 years,10.84486594761171
Female,Thyroid,Stage III,60-69 years,7.997688751926041
Female,Thyroid,Stage IV,0-29 years,9.28303158705701
Female,Thyroid,Stage IV,30-39 years,17.526363636363637
Female,Thyroid,Stage IV,40-49 years,25.843959938366716
Female,Thyroid,Stage IV,50-59 years,25.175581664098612
Female,Thyroid,Stage IV,60-69 years,18.56606317411402
Female,Uterus,Stage I,0-29 years,20.832
Female,Uterus,Stage I,30-39 years,114.57600000000001
Female,Uterus,Stage I,40-49 years,322.89599999999996
Female,Uterus,Stage I,50-59 years,623.658
Female,Uterus,Stage I,60-69 years,451.1429999999999
Female,Uterus,Stage I,70-79 years,197.253
Female,Uterus,Stage I,80+ years,72.261
Female,Uterus,Stage II,0-29 years,2.304
Female,Uterus,Stage II,30-39 years,12.672
Female,Uterus,Stage II,40-49 years,35.711999999999996
Female,Uterus,Stage II,50-59 years,68.976
Female,Uterus,Stage II,60-69 years,49.895999999999994
Female,Uterus,Stage II,70-79 years,21.816
Female,Uterus,Stage II,80+ years,7.992
Female,Uterus,Stage III,0-29 years,5.344
Female,Uterus,Stage III,30-39 years,29.392000000000003
Female,Uterus,Stage III,40-49 years,82.832
Female,Uterus,Stage III,50-59 years,159.98600000000002
Female,Uterus,Stage III,60-69 years,115.731
Female,Uterus,Stage III,70-79 years,50.601
Female,Uterus,Stage III,80+ years,18.537
Female,Uterus,Stage IV,0-29 years,3.52
Female,Uterus,Stage IV,30-39 years,19.36
Female,Uterus,Stage IV,40-49 years,54.559999999999995
Female,Uterus,Stage IV,50-59 years,105.38
Female,Uterus,Stage IV,60-69 years,76.22999999999999
Female,Uterus,Stage IV,70-79 years,33.33
Female,Uterus,Stage IV,80+ years,12.209999999999999
Male,Colon & rectum,Stage I,0-29 years,6.262
Male,Colon & rectum,Stage I,30-39 years,18.584
Male,Colon & rectum,Stage I,40-49 years,70.49799999999999
Male,Colon & rectum,Stage I,50-59 years,238.56199999999998
Male,Colon & rectum,Stage I,60-69 years,422.17999999999995
Male,Colon & rectum,Stage I,70-79 years,310.47400000000005
Male,Colon & rectum,Stage I,80+ years,171.498
Male,Colon & rectum,Stage II,0-29 years,7.223
Male,Colon & rectum,Stage II,30-39 years,21.436
Male,Colon & rectum,Stage II,40-49 years,81.317
Male,Colon & rectum,Stage II,50-59 years,275.173
Male,Colon & rectum,Stage II,60-69 years,486.96999999999997
Male,Colon & rectum,Stage II,70-79 years,358.12100000000004
Male,Colon & rectum,Stage II,80+ years,197.817
Male,Colon & rectum,Stage III,0-29 years,9.517
Male,Colon & rectum,Stage III,30-39 years,28.244
Male,Colon & rectum,Stage III,40-49 years,107.143
